sheet,source_log,process_original,process_normalized,run_number_in_same_log,step_number,step_original,step_normalized,step_seconds,total_seconds_at_step,severity,process_run_total_seconds,average_step_seconds_ignoring_dates,average_process_total_seconds_ignoring_dates
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,1,Start,Start,0.957,0.957,OK,153.958,0.462,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,2,Create Monthly Update preflight passed,Create Monthly Update preflight passed,1.605,2.562,OK,153.958,0.613,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,3,Monthly Change detail - source sheets located | Current: Raw Data 06.26; Previous: Raw Data 05.,Monthly Change detail - source sheets located | Current: Raw Data; Previous: Raw Data,0.021,2.583,OK,153.958,0.022,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,4,Monthly Change datasets compiled in-memory,Monthly Change datasets compiled in-memory,18.429,21.012,SLOW,153.958,16.675,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,5,Monthly Change detail - template copied: Template - Monthly Change,Monthly Change detail - template copied: Template - Monthly Change,3.523,24.535,OK,153.958,3.976,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,6,Monthly Change detail - report sheet shown,Monthly Change detail - report sheet shown,1.363,25.898,OK,153.958,6.476,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,7,Monthly Change report sheet created from template; full-workbook sheet sorting skipped by design,Monthly Change report sheet created from template; full-workbook sheet sorting skipped by design,0.002,25.900,OK,153.958,0.003,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,8,Monthly Change section layout prepared,Monthly Change section layout prepared,2.807,28.707,OK,153.958,1.627,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,9,Monthly Change section rows populated,Monthly Change section rows populated,3.500,32.207,OK,153.958,4.314,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,10,Monthly Change report drawn and subheaders formatted,Monthly Change report drawn and subheaders formatted,1.709,33.916,OK,153.958,1.801,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,11,Monthly Change index refreshed,Monthly Change index refreshed,4.861,38.777,OK,153.958,13.253,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,12,Create Monthly Update - Monthly Change Report complete: Monthly Change 06.,Create Monthly Update - Monthly Change Report complete: Monthly Change,0.128,38.905,OK,153.958,0.044,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,13,Create Monthly Update - Update Demo P - Locate ongoing Demo P sheet: Demo P,Create Monthly Update - Update Demo P - Locate ongoing Demo P sheet: Demo P,0.021,38.926,OK,153.958,0.021,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,14,Skipped Monthly Change header rows while loading Demo P sync PMRs | Rows:,Skipped Monthly Change header rows while loading Demo P sync PMRs | Rows,1.316,40.242,OK,153.958,1.085,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,15,Create Monthly Update - Update Demo P - Monthly Change PMRs loaded | PMRs:,Create Monthly Update - Update Demo P - Monthly Change PMRs loaded | PMRs,0.002,40.244,OK,153.958,0.004,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,16,Create Monthly Update - Update Demo P - Locate protected Raw Data source before changing Demo P: Raw Data 06.,Create Monthly Update - Update Demo P - Locate protected Raw Data source before changing Demo P: Raw Data,0.017,40.261,OK,153.958,0.035,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,17,Changed Demo P rows processed and flattened from Raw Data in memory | Rows retained:,Changed Demo P rows processed and flattened from Raw Data in memory | Rows retained,4.760,45.021,OK,153.958,3.871,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,18,Create Monthly Update - Update Demo P - Fresh Raw Data rows processed and flattened | Rows:,Create Monthly Update - Update Demo P - Fresh Raw Data rows processed and flattened | Rows,0.003,45.024,OK,153.958,0.003,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,19,Create Monthly Update - Update Demo P - Replacement PMR coverage validated,Create Monthly Update - Update Demo P - Replacement PMR coverage validated,0.003,45.027,OK,153.958,0.003,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,20,Create Monthly Update - Update Demo P - Demo P replacement body built | Retained rows: 264; removed rows: 86; fresh rows:,Create Monthly Update - Update Demo P - Demo P replacement body built | Retained rows: 264; removed rows: 86; fresh rows,0.005,45.032,OK,153.958,0.004,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,21,Create Monthly Update - Update Demo P - Archive detail - sheet readiness - lookup complete,Create Monthly Update - Update Demo P - Archive detail - sheet readiness - lookup complete,0.009,45.041,OK,153.958,0.011,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,22,Create Monthly Update - Update Demo P - Archive detail - sheet readiness - archive columns already sufficient | Columns:,Create Monthly Update - Update Demo P - Archive detail - sheet readiness - archive columns already sufficient | Columns,0.005,45.046,OK,153.958,0.004,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,23,Create Monthly Update - Update Demo P - Archive detail - sheet readiness - standard title rows ensured,Create Monthly Update - Update Demo P - Archive detail - sheet readiness - standard title rows ensured,0.459,45.505,OK,153.958,0.533,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,24,Create Monthly Update - Update Demo P - Archive detail - sheet readiness - archive title/header rows written,Create Monthly Update - Update Demo P - Archive detail - sheet readiness - archive title/header rows written,0.019,45.524,OK,153.958,0.011,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,25,Create Monthly Update - Update Demo P - Archive detail - sheet readiness - archive frozen rows ensured,Create Monthly Update - Update Demo P - Archive detail - sheet readiness - archive frozen rows ensured,0.183,45.707,OK,153.958,0.144,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,26,Create Monthly Update - Update Demo P - Archive detail - archive sheet ready: Archive - Demo P,Create Monthly Update - Update Demo P - Archive detail - archive sheet ready: Archive - Demo P,0.142,45.849,OK,153.958,0.216,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,27,Create Monthly Update - Update Demo P - Archive detail - archive headers read | Columns:,Create Monthly Update - Update Demo P - Archive detail - archive headers read | Columns,0.447,46.296,OK,153.958,0.483,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,28,Create Monthly Update - Update Demo P - Archive detail - archive header maps built | Source columns: 80; Archive columns:,Create Monthly Update - Update Demo P - Archive detail - archive header maps built | Source columns: 80; Archive columns,0.002,46.298,OK,153.958,0.002,144.679
Create Monthly Update,TEST v1.7.7 - Framework Timing Report.pdf,Create Monthly Update 06.01.26,Create Monthly Update,1,29,Create Monthly Update - Update Demo P - Archive detail - archive payload built | Rows: 86; Columns:,Create Monthly Update - Update Demo P - Archive detail - archive payload built | Rows: 86; Columns,0.005,46.303,OK,153.958,0.003,144.679
