sheet,source_log,process_original,process_normalized,run_number_in_same_log,step_number,step_original,step_normalized,step_seconds,total_seconds_at_step,severity,process_run_total_seconds,average_step_seconds_ignoring_dates,average_process_total_seconds_ignoring_dates
Create / Refresh All Templates,TEST v1.7.7 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,1,Start,Start,0.285,0.285,OK,11.140,0.307,85.917
Create / Refresh All Templates,TEST v1.7.7 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,2,Dashboard loaded,Dashboard loaded,0.783,1.068,OK,11.140,1.341,85.917
Create / Refresh All Templates,TEST v1.7.7 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,3,Golden Master base template prepared with Section A globals,Golden Master base template prepared with Section A globals,0.140,1.208,OK,11.140,0.214,85.917
Create / Refresh All Templates,TEST v1.7.7 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,4,Open/create sheet: Template - Banner Report,Open/create sheet: Template - Banner Report,0.003,1.211,OK,11.140,3.976,85.917
Create / Refresh All Templates,TEST v1.7.7 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,5,Template signature matched - metadata refresh eligible: Template - Banner Report,Template signature matched - metadata refresh eligible: Template - Banner Report,0.291,1.502,OK,11.140,0.291,85.917
Create / Refresh All Templates,TEST v1.7.7 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,6,Template refresh decision: METADATA_ONLY - Template - Banner Report (metadata refresh will run),Template refresh decision: METADATA_ONLY - Template - Banner Report (metadata refresh will run),0.000,1.502,OK,11.140,0.000,85.917
Create / Refresh All Templates,TEST v1.7.7 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,7,Template timing mode: METADATA_ONLY - Template - Banner Report,Template timing mode: METADATA_ONLY - Template - Banner Report,0.000,1.502,OK,11.140,0.000,85.917
Create / Refresh All Templates,TEST v1.7.7 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,8,Metadata-only refresh; template unchanged: Template - Banner Report,Metadata-only refresh; template unchanged: Template - Banner Report,0.074,1.576,OK,11.140,0.074,85.917
Create / Refresh All Templates,TEST v1.7.7 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,9,Complete metadata-only template refresh: Template - Banner Report,Complete metadata-only template refresh: Template - Banner Report,0.000,1.576,OK,11.140,0.000,85.917
Create / Refresh All Templates,TEST v1.7.7 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,10,Open/create sheet: Template - Care Plan Due,Open/create sheet: Template - Care Plan Due,0.004,1.580,OK,11.140,4.166,85.917
Create / Refresh All Templates,TEST v1.7.7 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,11,Template signature matched - metadata refresh eligible: Template - Care Plan Due,Template signature matched - metadata refresh eligible: Template - Care Plan Due,0.330,1.910,OK,11.140,0.330,85.917
Create / Refresh All Templates,TEST v1.7.7 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,12,Template refresh decision: METADATA_ONLY - Template - Care Plan Due (metadata refresh will run),Template refresh decision: METADATA_ONLY - Template - Care Plan Due (metadata refresh will run),0.000,1.910,OK,11.140,0.000,85.917
Create / Refresh All Templates,TEST v1.7.7 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,13,Template timing mode: METADATA_ONLY - Template - Care Plan Due,Template timing mode: METADATA_ONLY - Template - Care Plan Due,0.000,1.910,OK,11.140,0.000,85.917
Create / Refresh All Templates,TEST v1.7.7 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,14,Metadata-only refresh; template unchanged: Template - Care Plan Due,Metadata-only refresh; template unchanged: Template - Care Plan Due,0.072,1.982,OK,11.140,0.072,85.917
Create / Refresh All Templates,TEST v1.7.7 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,15,Complete metadata-only template refresh: Template - Care Plan Due,Complete metadata-only template refresh: Template - Care Plan Due,0.000,1.982,OK,11.140,0.000,85.917
Create / Refresh All Templates,TEST v1.7.7 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,16,Open/create sheet: Template - Unlocked Care Plan,Open/create sheet: Template - Unlocked Care Plan,0.003,1.985,OK,11.140,3.489,85.917
Create / Refresh All Templates,TEST v1.7.7 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,17,Template signature matched - metadata refresh eligible: Template - Unlocked Care Plan,Template signature matched - metadata refresh eligible: Template - Unlocked Care Plan,0.287,2.272,OK,11.140,0.287,85.917
