sheet,source_log,process_original,process_normalized,run_number_in_same_log,step_number,step_original,step_normalized,step_seconds,total_seconds_at_step,severity,process_run_total_seconds,average_step_seconds_ignoring_dates,average_process_total_seconds_ignoring_dates
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,1,Start,Start,0.326,0.326,OK,55.243,0.331,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,2,Banner output sheet shown: Banners 05.,Banner output sheet shown: Banners,4.836,5.162,OK,55.243,12.426,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,3,Raw archive detail - archive workbook opened: Raw Data - Banners 05.,Raw archive detail - archive workbook opened: Raw Data - Banners,1.568,6.730,OK,55.243,2.180,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,4,Raw archive detail - existing archive sheet deleted if present: Raw Data - Banners 05.,Raw archive detail - existing archive sheet deleted if present: Raw Data - Banners,0.002,6.732,OK,55.243,0.007,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,5,Raw archive detail - source sheet copied to archive workbook: Raw Data - Banners 05.,Raw archive detail - source sheet copied to archive workbook: Raw Data - Banners,1.255,7.987,OK,55.243,1.343,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,6,Raw archive detail - archive sheet renamed: Raw Data - Banners 05.,Raw archive detail - archive sheet renamed: Raw Data - Banners,0.825,8.812,OK,55.243,0.732,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,7,Raw archive detail - archive sheet visibility enforced visible: Raw Data - Banners 05.,Raw archive detail - archive sheet visibility enforced visible: Raw Data - Banners,0.088,8.900,OK,55.243,0.111,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,8,Raw data copied to archive: Raw Data - Banners,Raw data copied to archive: Raw Data - Banners,0.000,8.900,OK,55.243,0.000,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,9,Local raw sheet deleted to preserve workbook speed,Local raw sheet deleted to preserve workbook speed,1.952,10.852,OK,55.243,0.752,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,10,Hide governed output sheet: Banners 05.,Hide governed output sheet: Banners,0.617,11.469,OK,55.243,0.758,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,11,Formatted monthly import tab: B from B May,Formatted monthly import tab: B from B,0.135,11.604,OK,55.243,0.168,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,12,Prepared monthly dashboard source: CD May,Prepared monthly dashboard source: CD,0.546,12.150,OK,55.243,1.110,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,13,Mapped monthly dashboard rows in memory:,Mapped monthly dashboard rows in memory,0.862,13.012,OK,55.243,0.762,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,14,Monthly dashboard fast canvas - blank sheet inserted in configured creation order: CP Due 05.,Monthly dashboard fast canvas - blank sheet inserted in configured creation order: CP Due,4.927,17.939,OK,55.243,12.014,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,15,Monthly dashboard fast canvas - grid resized to 339 rows x 5 cols: CP Due 05.,Monthly dashboard fast canvas - grid resized to 339 rows x 5 cols: CP Due,0.485,18.424,OK,55.243,1.136,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,16,Monthly dashboard fast canvas - template column widths applied: CP Due 05.,Monthly dashboard fast canvas - template column widths applied: CP Due,0.415,18.839,OK,55.243,0.860,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,17,Monthly dashboard fast canvas - raw values written | Rows: 335: CP Due 05.,Monthly dashboard fast canvas - raw values written | Rows: 335: CP Due,0.035,18.874,OK,55.243,0.018,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,18,Monthly dashboard fast canvas - title rows copied from template: CP Due 05.,Monthly dashboard fast canvas - title rows copied from template: CP Due,0.011,18.885,OK,55.243,0.008,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,19,Monthly dashboard fast canvas - header row copied from template: CP Due 05.,Monthly dashboard fast canvas - header row copied from template: CP Due,0.014,18.899,OK,55.243,0.006,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,20,Monthly dashboard fast canvas - data-row format copied from template | Rows: 335: CP Due 05.,Monthly dashboard fast canvas - data-row format copied from template | Rows: 335: CP Due,0.023,18.922,OK,55.243,0.010,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,21,Monthly dashboard fast canvas - title/date/header values stamped: CP Due 05.,Monthly dashboard fast canvas - title/date/header values stamped: CP Due,0.038,18.960,OK,55.243,0.018,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,22,Monthly dashboard fast canvas - frozen rows/columns and tab color applied: CP Due 05.,Monthly dashboard fast canvas - frozen rows/columns and tab color applied: CP Due,1.024,19.984,OK,55.243,2.161,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,23,Monthly dashboard fast canvas - filter created: CP Due 05.,Monthly dashboard fast canvas - filter created: CP Due,0.654,20.638,OK,55.243,0.915,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,24,Monthly dashboard fast canvas - template-driven canvas wrap applied: CP Due 05.,Monthly dashboard fast canvas - template-driven canvas wrap applied: CP Due,0.376,21.014,OK,55.243,0.481,106.731
Format Monthly Sheets,TEST v1.7.7 - Framework Timing Report.pdf,Format Monthly Sheets 05.26,Format Monthly Sheets,1,25,Monthly dashboard fast canvas - runtime caches cleared: CP Due 05.,Monthly dashboard fast canvas - runtime caches cleared: CP Due,0.004,21.018,OK,55.243,0.004,106.731
